bfs_number,rooms,area,price,postalcode,address,town,description_raw,bfs_name,pop,pop_dens,frg_pct,emp,tax_income,lat,lon,x,y
261,4.5,148,4180,8050,"Schaffhauserstrasse 363, 8050 Zürich", Zürich,««Renovierte 4.5-Zimmerwohnung an zentraler Lage»»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.41106796264648,8.546546936035156,251729.25,683615.375
261,2.0,122,3190,8050,"Max Bill Platz 5, 8050 Zürich", Zürich,«Modernes Wohnen im Zentrum von Oerlikon»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.41380310058594,8.539403915405273,252026.109375,683072.0
261,3.5,78,2780,8050,"Regensbergstrasse 30, 8050 Zürich", Zürich,«Wohnen am Puls von Zürich»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.404903411865234,8.554218292236328,251052.390625,684204.0625
261,3.5,69,3750,8050,"Dörflistrasse 112, 8050 Zürich", Zürich,"«Trendy Oerlikon 3.5 Room w/ Balcony, 1min to Train Station, by Bluegro»",Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.41082382202149,8.547832489013672,251703.875,683712.75
261,3.5,74,2390,8050,"Schaffhauserstrasse 445, 8050 Zürich", Zürich,«Helle und zentrale Wohnung in Zürich-Oerlikon»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.41709518432617,8.544919967651367,252397.609375,683483.125
261,4.5,98,3800,8050,"Eggbühlstrasse 9, 8050 Zürich", Zürich,«An bester Wohnlage in Zürich-Oerlikon»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.41616439819336,8.544422149658203,252293.859375,683447.0
261,2.5,60,2460,8050,"Leutschenbachstrasse 46, 8050 Zürich", Zürich,"«Schicke Oerlikon 2.5ZW mit Keller und W/T, nah Markt, über Blueground»",Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.415992736816406,8.555052757263184,252286.203125,684249.4375
261,2.5,64,2640,8050,"Siewerdtstrasse 19, 8050 Zürich", Zürich,«Erstvermietung - Stilvoll wohnen im Herzen von Oerlikon!!»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.412330627441406,8.549160957336426,251872.484375,683810.625
261,3.5,92,4210,8050,"Siewerdtstrasse 19, 8050 Zürich", Zürich,«Attikawohnung Erstvermietung - Stilvoll wohnen im Herzen von Oerlikon»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.412330627441406,8.549160957336426,251872.484375,683810.625
261,3.5,85,3130,8050,"Siewerdtstrasse 19, 8050 Zürich", Zürich,«Erstvermietung - Stilvoll wohnen im Herzen von Oerlikon!!»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.412330627441406,8.549160957336426,251872.484375,683810.625
