bfs_number,rooms,area,price,postalcode,address,town,description_raw,bfs_name,pop,pop_dens,frg_pct,emp,tax_income,lat,lon,x,y
118,3.0,49,1441,8630,"Neuhusstrasse 6, 8630 Rüti ZH", Rüti ZH,«Gemütliche Wohnung im Grünen»,Rüti (ZH),12286,1221.2723658052,24.8412827609,5053.0,66676,47.252166748046875,8.845797538757324,234427.734375,706514.9375
118,3.0,111,2600,8630,"Widacherstrasse 5, 8630 Rüti ZH", Rüti ZH,«3 Zimmer-Maisonette-Wohnung»,Rüti (ZH),12286,1221.2723658052,24.8412827609,5053.0,66676,47.2520866394043,8.85491943359375,234430.9375,707205.5
118,3.0,58,1490,8630,"Widenweg 14, 8630 Rüti ZH", Rüti ZH,"«Ruhig & Grün , Genau was Sie suchen !»",Rüti (ZH),12286,1221.2723658052,24.8412827609,5053.0,66676,47.25366973876953,8.85399341583252,234605.734375,707132.25
118,4.0,118,3240,8630,"Rain 1, 8630 Rüti ZH", Rüti ZH,«Gemütliches 4-Zimmer-Reihenhaus in zentraler Rüti-Lage»,Rüti (ZH),12286,1221.2723658052,24.8412827609,5053.0,66676,47.25983428955078,8.851704597473145,235287.96875,706946.625
118,3.0,66,1450,8630,"Bachtelstrasse 24b, 8630 Rüti ZH", Rüti ZH,«Schöne 3-Zimmerwohnung in ruhigem Quartier»,Rüti (ZH),12286,1221.2723658052,24.8412827609,5053.0,66676,47.26611328125,8.86687183380127,236006.640625,708081.75
118,2.5,61,1307,8630,"Faegswilerstrasse 1, 8630 Rüti ZH", Rüti ZH,«Kleine Attikawohnung mit grossem Charme»,Rüti (ZH),12286,1221.2723658052,24.8412827609,5053.0,66676,47.26417922973633,8.866929054260254,235791.5625,708090.0
88,3.5,65,1850,8173,"Zürcherstrasse 1, 8173 Neerach", Neerach,«Attraktive 3.5-Zimmer-EG-Wohnung in Neerach»,Neerach,3175,525.6622516556,13.3228346457,641.0,110502,47.51333236694336,8.47485065460205,263024.8125,678054.375
88,3.5,101,2420,8173,"Vogtmühlestrasse 2, 8173 Neerach", Neerach,«Wohnen im steuergünstigen Neerach»,Neerach,3175,525.6622516556,13.3228346457,641.0,110502,47.51044464111328,8.469561576843262,262698.5,677660.25
88,2.5,68,2060,8173,"Vogtmühlestrasse 2, 8173 Neerach", Neerach,«Wohnen im steuergünstigen Neerach»,Neerach,3175,525.6622516556,13.3228346457,641.0,110502,47.51044464111328,8.469561576843262,262698.5,677660.25
88,5.5,191,3400,8173,"Steinmaurstrasse 19B, 8173 Neerach", Neerach,«Traumhaft schöne 5 1/2 Zimmer Maisonette-Wohnung in Neerach mit Eigentumsstandard zu vermieten»,Neerach,3175,525.6622516556,13.3228346457,641.0,110502,47.51190185546875,8.470452308654785,262861.1875,677725.1875
261,2.0,54,4853,8004,"Cramerstrasse 8-12, 8004 Zürich", Zürich,«2 Bedroom Apartment Senior Balcony»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.37322235107422,8.526176452636719,247500.75,682136.375
261,2.5,45,2520,8004,8004 Zürich, Zürich,"«MÖBLIERT, TEMPORÄR: 2½ ZI-WOHNUNG IN ZÜRICH - KREIS 4 HARD»",Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.377140045166016,8.515775680541992,247925.203125,681344.9375
